                14ceni.out                                          2007/06/24

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 54  53.00000 165.83636 102.14916
 55  54.00000 172.20000 106.41405



  BP (UK) 15/20-2                         

 WELL #  9 WITH  24 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   1.33779   0.57872
  2   1.00000   1.53904   0.52999
  3   2.00000   1.74529   0.48387
  4   3.00000   1.95654   0.44049
  5   4.00000   2.17278   0.39998
  6   5.00000   2.39402   0.36252
  7   6.00000   2.62025   0.32833
  8   7.00000   2.85148   0.29766
  9   8.00000   3.08770   0.27081
 10   9.00000   3.32891   0.24805
 11  10.00000   3.57513   0.22965
 12  11.00000   3.82633   0.21575
 13  12.00000   4.08254   0.20631
 14  13.00000   4.34373   0.20105
 15  14.00000   4.60992   0.19943
 16  15.00000   4.88111   0.20077
 17  16.00000   5.15729   0.20429
 18  17.00000   5.43847   0.20925
 19  18.00000   5.72464   0.21500
 20  19.00000   6.01581   0.22097
 21  20.00000   6.31197   0.22674
 22  21.00000   6.61313   0.23197
 23  22.00000   6.91928   0.23640
 24  23.00000   7.23043   0.23984
 25  24.00000   7.54657   0.24215
 26  25.00000   7.86771   0.24322
 27  26.00000   8.19385   0.24301
 28  27.00000   8.52497   0.24147
 29  28.00000   8.86110   0.23861
 30  29.00000   9.20221   0.23447
 31  30.00000   9.54833   0.22912
 32  31.00000   9.89944   0.22265
 33  32.00000  10.25554   0.21525
 34  33.00000  10.61664   0.20715
 35  34.00000  10.98273   0.19867
 36  35.00000  11.35382   0.19028
 37  36.00000  11.72990   0.18256
 38  37.00000  12.11098   0.17630
 39  38.00000  12.49706   0.17243
 40  39.00000  12.88813   0.17196
 41  40.00000  13.28419   0.17582
 42  41.00000  13.68525   0.18467
 43  42.00000  14.09130   0.19877
 44  43.00000  14.50235   0.21799
 45  44.00000  14.91840   0.24199
 46  45.00000  15.33944   0.27031
 47  46.00000  15.76547   0.30252
 48  47.00000  16.19650   0.33823
 49  48.00000  16.63253   0.37714
 50  49.00000  17.07355   0.41900
 51  50.00000  17.51956   0.46364
 52  51.00000  17.97057   0.51091
 53  52.00000  18.42657   0.56069
 54  53.00000  18.88758   0.61291
 55  54.00000  19.35357   0.66749



  Saga (N) 2/2-4                          

 WELL # 10 WITH  40 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   1.70534   0.41797
  2   1.00000   2.29564   0.38243
  3   2.00000   2.88809   0.34876
  4   3.00000   3.48268   0.31701
  5   4.00000   4.07941   0.28727
  6   5.00000   4.67829   0.25965
  7   6.00000   5.27930   0.23428
  8   7.00000   5.88246   0.21132
  9   8.00000   6.48776   0.19095
 10   9.00000   7.09521   0.17338
 11  10.00000   7.70479   0.15881
 12  11.00000   8.31652   0.14737
 13  12.00000   8.93039   0.13912
 14  13.00000   9.54640   0.13392
 15  14.00000  10.16456   0.13147
 16  15.00000  10.78486   0.13131
 17  16.00000  11.40729   0.13290
 18  17.00000  12.03188   0.13567
 19  18.00000  12.65860   0.13914
 20  19.00000  13.28747   0.14288
 21  20.00000  13.91847   0.14656
 22  21.00000  14.55162   0.14994
 23  22.00000  15.18691   0.15282
 24  23.00000  15.82435   0.15508
 25  24.00000  16.46393   0.15663
 26  25.00000  17.10564   0.15744
 27  26.00000  17.74951   0.15749
 28  27.00000  18.39551   0.15681
 29  28.00000  19.04365   0.15546
 30  29.00000  19.69394   0.15355
