                14cen.lli.out                                       2006/11/28

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  47 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  4   3.00000   2.17370   0.27329
  5   4.00000   2.88175   0.24587
  6   5.00000   3.57996   0.22086
  7   6.00000   4.26831   0.19851
  8   7.00000   4.94681   0.17912
  9   8.00000   5.61546   0.16304
 10   9.00000   6.27426   0.15058
 11  10.00000   6.92321   0.14193
 12  11.00000   7.56232   0.13711
 13  12.00000   8.19157   0.13582
 14  13.00000   8.81097   0.13752
 15  14.00000   9.42052   0.14153
 16  15.00000  10.02022   0.14715
 17  16.00000  10.61007   0.15374
 18  17.00000  11.19007   0.16079
 19  18.00000  11.76022   0.16791
 20  19.00000  12.32052   0.17477
 21  20.00000  12.87097   0.18117
 22  21.00000  13.41157   0.18693
 23  22.00000  13.94232   0.19194
 24  23.00000  14.46321   0.19611
 25  24.00000  14.97426   0.19938
 26  25.00000  15.47546   0.20173
 27  26.00000  15.96681   0.20313
 28  27.00000  16.44831   0.20358
 29  28.00000  16.91996   0.20311
 30  29.00000  17.38175   0.20175
 31  30.00000  17.83370   0.19954
 32  31.00000  18.27580   0.19658
 33  32.00000  18.70805   0.19295
 34  33.00000  19.13044   0.18879
 35  34.00000  19.54299   0.18427
 36  35.00000  19.94569   0.17961
 37  36.00000  20.33853   0.17510
 38  37.00000  20.72153   0.17106
 39  38.00000  21.09468   0.16791
 40  39.00000  21.45797   0.16610
 41  40.00000  21.81142   0.16614
 42  41.00000  22.15501   0.16850
 43  42.00000  22.48876   0.17357
 44  43.00000  22.81265   0.18165
 45  44.00000  23.12670   0.19286
 46  45.00000  23.43089   0.20721
 47  46.00000  23.72524   0.22457
 48  47.00000  24.00973   0.24480
 49  48.00000  24.28438   0.26768
 50  49.00000  24.54917   0.29305
 51  50.00000  24.80411   0.32073
 52  51.00000  25.04921   0.35057
 53  52.00000  25.28445   0.38245
 54  53.00000  25.50984   0.41627
 55  54.00000  25.72539   0.45194



  Hydro (N) 6407/7-1                      

 WELL #  7 WITH  30 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000  -2.31537   1.88992
  2   1.00000  -2.15203   1.77862
  3   2.00000  -1.97733   1.67061
  4   3.00000  -1.79128   1.56590
  5   4.00000  -1.59387   1.46449
  6   5.00000  -1.38510   1.36640
  7   6.00000  -1.16498   1.27164
  8   7.00000  -0.93351   1.18022
  9   8.00000  -0.69067   1.09216
 10   9.00000  -0.43648   1.00747
 11  10.00000  -0.17094   0.92619
 12  11.00000   0.10596   0.84835
 13  12.00000   0.39422   0.77398
 14  13.00000   0.69383   0.70313
 15  14.00000   1.00480   0.63586
 16  15.00000   1.32713   0.57225
 17  16.00000   1.66081   0.51241
 18  17.00000   2.00584   0.45646
 19  18.00000   2.36224   0.40459
 20  19.00000   2.72999   0.35701
 21  20.00000   3.10909   0.31404
 22  21.00000   3.49955   0.27603
 23  22.00000   3.90137   0.24346
 24  23.00000   4.31454   0.21679
 25  24.00000   4.73907   0.19642
 26  25.00000   5.17496   0.18247
 27  26.00000   5.62220   0.17459
 28  27.00000   6.08080   0.17187
 29  28.00000   6.55075   0.17300
 30  29.00000   7.03206   0.17657
 31  30.00000   7.52472   0.18130
 32  31.00000   8.02874   0.18618
 33  32.00000   8.54412   0.19044
 34  33.00000   9.07085   0.19356
 35  34.00000   9.60894   0.19518
 36  35.00000  10.15839   0.19508
 37  36.00000  10.71919   0.19319
 38  37.00000  11.29135   0.18951
 39  38.00000  11.87486   0.18421
 40  39.00000  12.46973   0.17757
 41  40.00000  13.07595   0.17007
 42  41.00000  13.69353   0.16247
 43  42.00000  14.32247   0.15585
 44  43.00000  14.96276   0.15170
 45  44.00000  15.61441   0.15177
 46  45.00000  16.27742   0.15777
 47  46.00000  16.95178   0.17081
 48  47.00000  17.63750   0.19118
 49  48.00000  18.33457   0.21847
