                27cenai.out                                         2007/03/15

 EXTRA OUTPUT FILE.  REQUIRED AS INPUT FILE FOR CASC




  Saga (N) 6407/2-3                       

 WELL #  1 WITH  60 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

 48  47.00000  17.49972   0.12971
 49  48.00000  17.89482   0.12919
 50  49.00000  18.28978   0.12847
 51  50.00000  18.68459   0.12757
 52  51.00000  19.07925   0.12651
 53  52.00000  19.47376   0.12530
 54  53.00000  19.86813   0.12398
 55  54.00000  20.26234   0.12258
 56  55.00000  20.65641   0.12114
 57  56.00000  21.05033   0.11970
 58  57.00000  21.44411   0.11831
 59  58.00000  21.83773   0.11704
 60  59.00000  22.23121   0.11596
 61  60.00000  22.62454   0.11513
 62  61.00000  23.01772   0.11464
 63  62.00000  23.41076   0.11457
 64  63.00000  23.80364   0.11501
 65  64.00000  24.19638   0.11605
 66  65.00000  24.58897   0.11774
 67  66.00000  24.98141   0.12018
 68  67.00000  25.37371   0.12340
 69  68.00000  25.76586   0.12746
 70  69.00000  26.15785   0.13236
 71  70.00000  26.54971   0.13813
 72  71.00000  26.94141   0.14475
 73  72.00000  27.33296   0.15222
 74  73.00000  27.72437   0.16052
 75  74.00000  28.11563   0.16961
 76  75.00000  28.50674   0.17947
 77  76.00000  28.89771   0.19008
 78  77.00000  29.28852   0.20140
 79  78.00000  29.67919   0.21340
 80  79.00000  30.06971   0.22607
 81  80.00000  30.46008   0.23937
 82  81.00000  30.85031   0.25330
 83  82.00000  31.24039   0.26782
 84  83.00000  31.63032   0.28292
 85  84.00000  32.02010   0.29860
 86  85.00000  32.40973   0.31482
 87  86.00000  32.79921   0.33160
 88  87.00000  33.18855   0.34890
 89  88.00000  33.57774   0.36673
 90  89.00000  33.96679   0.38507
 91  90.00000  34.35568   0.40393
 92  91.00000  34.74442   0.42328
 93  92.00000  35.13302   0.44314
 94  93.00000  35.52147   0.46348
 95  94.00000  35.90977   0.48432
 96  95.00000  36.29793   0.50563
 97  96.00000  36.68594   0.52743
 98  97.00000  37.07380   0.54970



  Hydro (N) 34/8-1                        

 WELL #  4 WITH  65 EVENTS

  i    X(i)    EXPECTED  ERROR BAR
                           INPUT

  1   0.00000   1.35461   0.31331
  2   1.00000   1.61092   0.29862
  3   2.00000   1.87131   0.28439
  4   3.00000   2.13577   0.27063
  5   4.00000   2.40432   0.25736
  6   5.00000   2.67694   0.24460
  7   6.00000   2.95364   0.23235
  8   7.00000   3.23442   0.22065
  9   8.00000   3.51928   0.20951
 10   9.00000   3.80821   0.19894
 11  10.00000   4.10123   0.18899
 12  11.00000   4.39832   0.17966
 13  12.00000   4.69949   0.17099
 14  13.00000   5.00474   0.16300
 15  14.00000   5.31407   0.15572
 16  15.00000   5.62747   0.14917
 17  16.00000   5.94495   0.14337
 18  17.00000   6.26652   0.13833
 19  18.00000   6.59216   0.13405
 20  19.00000   6.92187   0.13053
 21  20.00000   7.25567   0.12774
 22  21.00000   7.59355   0.12567
 23  22.00000   7.93550   0.12426
 24  23.00000   8.28153   0.12347
 25  24.00000   8.63164   0.12323
 26  25.00000   8.98583   0.12349
 27  26.00000   9.34409   0.12416
 28  27.00000   9.70644   0.12519
